2026-04-18T09:49:56.4104748Z ##[group]Run echo "Cleaning up..." && \
2026-04-18T09:49:56.4105067Z [36;1mecho "Cleaning up..." && \[0m
2026-04-18T09:49:56.4105406Z [36;1mmkdir -p "/home/runner/work/_temp/runtime-logs" && \[0m
2026-04-18T09:49:56.4106144Z [36;1mcurl -L -H "Content-Type: application/json" -H "Accept: application/json" --data '{"oid":'$GITHUB_REPOSITORY_OWNER_ID',"rid":'$GITHUB_REPOSITORY_ID',"wid":'$GITHUB_RUN_ID'}' \[0m
2026-04-18T09:49:56.4107675Z [36;1m  -H "Authorization: ***" -H "X-GitHub-Copilot-Cleanup-List: ***,***,***" \[0m
2026-04-18T09:49:56.4347741Z   COPILOT_AGENT_PROMPT: IlNraXAgdG8gY29udGVudAphaWRvcnVhbwpvcnRob2dvbmFsLWVuZ2luZWVyaW5nClJlcG9zaXRvcnkgbmF2aWdhdGlvbgpDb2RlCklzc3VlcwoxMwogKDEzKQpQdWxsIHJlcXVlc3RzCjE3CiAoMTcpCkFnZW50cwpEaXNjdXNzaW9ucwpBY3Rpb25zClByb2plY3RzCldpa2kKU2VjdXJpdHkgYW5kIHF1YWxpdHkKSW5zaWdodHMKU2V0dGluZ3MKQWdlbnRzClRvZGF5CkJlZ2lubmluZyBjb2RpbmcgdGFza3MgZm9yIG9ydGhvZ29uYWwtZW5naW5lZXJpbmcKQ2FuY2VsbGVkIMK3IDNtCgpPbGRlcgpDb25kdWN0aW5nIGEgY29tcHJlaGVuc2l2ZSBmb3JlbnNpYyBhdWRpdCBvZiB0aGUgbWFpbiBicmFuY2gKQ29tcGxldGVkIMK3IDF3CgpBbmFseXppbmcgY29udGV4dC1idWlsZGluZyBxdWVzdGlvbnMgZm9yIE5vdGVib29rTE0KRHJhZnQgwrcgIzEwMiDCtyAxdwoKQW5hbHlzaXMgb2YgcXVlc3Rpb25zIGZvciBOb3RlYm9va0xNIHJlbGF0aW5nIHRvIE9ydGhvLUtlcm5lbCB2MS4wCkNvbXBsZXRlZCDCtyAxdwoKQW5hbHl6aW5nIG1hdGggdHlwZXMgaW4gdGhlIGNvZGViYXNlCkNvbXBsZXRlZCDCtyAxdwoKRXhhbWluaW5nIHByaXNtIGxhdW5jaGVyIGNvbnNvbGUgbG9nIGZvciBlcnJvcnMgYW5kIGlzc3VlcwpDb21wbGV0ZWQgwrcgMncKCkFuYWx5emluZyBrZXl3b3JkcyBhbmQgcmVmZXJlbmNlcyBpbiB0aGUgcHJvamVjdCBjb2RlYmFzZQpDb21wbGV0ZWQgwrcgMncKClN1cmdpY2FsIHVwZGF0ZSB0byBEX0RPTExBUlRSRUUgb2ZmaWNlciB1dHRlcmFuY2UKRHJhZnQgwrcgIzk5IMK3IDJ3CgpBZGRpbmcgaW52YXJpYW50IHRlc3RzIGZvciBUZXNsYSBGU0QgY29tcGFyaXNvbgpDYW5jZWxsZWQgwrcgMncKCkNvbXByZWhlbnNpdmUgaW1wbGVtZW50YXRpb24gb2YgY29kaW5nIHRhc2tzCkNvbXBsZXRlZCDCtyAydwoKQmVnaW5uaW5nIGNvZGluZyB0YXNrcyBmb3Igb3J0aG9nb25hbC1lbmdpbmVlcmluZwpZb3UKY3JlYXRlZCB0aGUgc2Vzc2lvbgoxOCBtaW51dGVzIGFnbwrCtwpBbnRocm9waWMgbG9nbwpDbGF1ZGUgU29ubmV0IDQuNiDCtwoxIHNlc3Npb24KwrcgMSBwcmVtaXVtIHJlcXVlc3QKWW91CnN0YXJ0ZWQgYSB0YXNrCgpodHRwczovL2dpdGh1Yi5jb20vYWlkb3J1YW8vb3J0aG9nb25hbC1lbmdpbmVlcmluZy9jb21taXQvMmRmNmM4MzIzNDkzOTgwZjgzMzE3NDgwMGQ2Y2Y4MTViMDFhMDM5NwoKZmluZCB0aGlzIGZpbGUsIGJlZ2luIHByLCBjb21tZW5jZSBjb2RpbmcgdGFza3MsCgoKQmVnaW5uaW5nIGNvZGluZyB0YXNrcyBmb3Igb3J0aG9nb25hbC1lbmdpbmVlcmluZwoKMTVtIDE3cwoKU2V0dGluZyB1cCBlbnZpcm9ubWVudAoKQ2xvbmUgcmVwb3NpdG9yeSBhaWRvcnVhby9vcnRob2dvbmFsLWVuZ2luZWVyaW5nCgpTdGFydCAncGxheXdyaWdodCcgTUNQIHNlcnZlcgoKU3RhcnQgJ2dpdGh1Yi1tY3Atc2VydmVyJyBNQ1Agc2VydmVyCkxldCBtZSBsb29rIGF0IHRoZSBjb21taXQgcmVmZXJlbmNlZCBpbiB0aGUgcHJvYmxlbSBzdGF0ZW1lbnQgdG8gdW5kZXJzdGFuZCB3aGF0IGZpbGUgd2FzIGFkZGVkL21vZGlmaWVkLgoKCkdldCBjb21taXQgZnJvbSBHaXRIdWIKCkdldCBmaWxlIGNvbnRlbnRzIGZyb20gR2l0SHViCgpWaWV3IDUgZmlsZXMKCjE3NzY1MDE0MTM3OTQtY29waWxvdC10b29sLW91dHB1dC1keDVjcTIudHh0CgoxNzc2NTAxNDEzNzk0LWNvcGlsb3QtdG9vbC1vdXRwdXQtZHg1Y3EyLnR4dDoxLTEwMAoKMTc3NjUwMTQxMzc5NC1jb3BpbG90LXRvb2wtb3V0cHV0LWR4NWNxMi50eHQ6MTAwLTMwMAoKMTc3NjUwMTQxMzc5NC1jb3BpbG90LXRvb2wtb3V0cHV0LWR4NWNxMi50eHQ6MzAwLTU1MAoKMTc3NjUwMTQxMzc5NC1jb3BpbG90LXRvb2wtb3V0cHV0LWR4NWNxMi50eHQ6NTUwLTg0NQpOb3cgSSBoYXZlIHRoZSBmdWxsIHBpY3R1cmUuIFRoZSBjb21taXQgYWRkZWQgYSBicmllZmluZyBkb2N1bWVudCBmb3IgUFIgIzEzOSDigJQgYSBtYWpvciBhcmNoaXRlY3R1cmFsIHRhc2sgd2l0aCA1IHN0cmVhbXMuIExldCBtZSBleHBsb3JlIHRoZSBleGlzdGluZyByZXBvIHN0cnVjdHVyZSB0byBwbGFuIHRoZSBpbXBsZW1lbnRhdGlvbi4KCgpWaWV3IHJlcG9zaXRvcnkKClZpZXcgc3JjL2RvbWFpbnMKTGV0IG1lIGxvb2sgYXQgZXhpc3RpbmcgZG9tYWluIHBhdHRlcm5zIGFuZCB0aGUgY3VycmVudCBzdGF0ZSBvZiBzb21lIGtleSBmaWxlcy4KCgpWaWV3IDQgZmlsZXMKCnNyYy9kb21haW5zL2RfYWVyb3NwYWNlCgpTVEFOREFSRFNfUkVHSVNUUlkuanNvbjoxLTUwCgpzcmMvZG9tYWlucy9kX2Flcm9zcGFjZS9pbnZhcmlhbnRzLnB5CgpzcmMvZG9tYWlucy9kX2Flcm9zcGFjZS9kb21haW4ucHkKTm93IGxldCBtZSBsb29rIGF0IGEgc2ltcGxlciBkb21haW4gcGF0dGVybiBsaWtlIGRfbnVtYmVyX3RoZW9yeSB0byB1bmRlcnN0YW5kIHRoZSBmdWxsIHBhY2thZ2UgbGF5b3V0LCBhbmQgdGhlbiBjaGVjayB0aGUgU1RBTkRBUkRTX1JFR0lTVFJZLmpzb24gZm9yIHRoZSBmdWxsIGxpc3Qgb2Ygc3RhbmRhcmRzLgoKClZpZXcgNSBmaWxlcwoKc3JjL2RvbWFpbnMvZF9udW1iZXJfdGhlb3J5CgpTVEFOREFSRFNfUkVHSVNUUlkuanNvbjoxLTIwCgphdWRpdC9wb3BwZXJpYW5fYXVkaXQucHk6MS04MAoKc3JjL2RvbWFpbnMvZF9udW1iZXJfdGhlb3J5L2ludmFyaWFudHMucHkKCnNyYy9kb21haW5zL2RfYXV0b21vdGl2ZS9pbnZhcmlhbnRzLnB5CkxldCBtZSBsb29rIGF0IHRoZSB0ZXN0cyBzdHJ1Y3R1cmUgYW5kIGFuIGV4aXN0aW5nIGRvbWFpbidzIF9faW5pdF9fLnB5IGFuZCBpbXBsZW1lbnRhdGlvbi5weS4KCgpWaWV3IDUgZmlsZXMKCnNyYy9kb21haW5zL2RfYWVyb3NwYWNlL2ltcGxlbWVudGF0aW9uLnB5CgpzcmMvZG9tYWlucy9kX2Flcm9zcGFjZS9fX2luaXRfXy5weQoKc3JjL2RvbWFpbnMvZF9hZXJvc3BhY2UvdGVzdHMKCnNyYy9kb21haW5zL2RfYWVyb3NwYWNlL3Rlc3RzL3Rlc3RfZl9kX2Flcm9zcGFjZV8wMDEucHkKCmF4aW9tcy9sb2dpYy5weQpOb3cgSSBoYXZlIGEgY29tcGxldGUgdW5kZXJzdGFuZGluZy4gTGV0IG1lIHN0YXJ0IGltcGxlbWVudGluZyBQUiAjMTM5LiBJJ2xsIHVzZSBhIGdlbmVyYWwtcHVycG9zZSBhZ2VudCB0byBoYW5kbGUgdGhlIGxhcmdlLXNjYWxlIGltcGxlbWVudGF0aW9uLgoKClByb2dyZXNzIHVwZGF0ZTogY2hvcmU6IGJlZ2luIFBSICMxMzkg4oCUIFVuaXZlcnNhbCBBZXJvc3BhY2UgRmxvb3IgKyBQb2x5bWF0aCBEb21haW4gR2FwcwoKR2VuZXJhbC1wdXJwb3NlOiBJbXBsZW1lbnQgUFIgIzEzOSBhZXJvc3BhY2UgZmxvb3IgZG9tYWluICsgYXVkaXQgc2NyaXB0CkNoZWNrIGF1dGggYW5kIHN0YXR1cyBpbiBwdXNoCkNvcGlsb3QncyB3b3JrIHdhcyBjYW5jZWxsZWQKVGhlIHNlc3Npb24gd2FzIGNhbmNlbGxlZCBieSB0aGUgdXNlci4KU2VuZCBtZXNzYWdlCldoYXQgd291bGQgeW91IGxpa2UgdG8gZG8gbmV4dD8KIiB3ZSBuZWVkIHRvIHN0YXJ0IGEgbmV3IHByIGZpcnN0
2026-04-18T09:49:56.4563425Z   COPILOT_AGENT_PUSH: true
2026-04-18T09:49:56.4563684Z   COPILOT_AGENT_PR_COMMIT_COUNT: 0
2026-04-18T09:49:56.4563946Z   COPILOT_AGENT_CONTENT_FILTER_MODE: 
2026-04-18T09:49:56.4564282Z   COPILOT_AGENT_SESSION_ID: 1f252b2f-cebb-4270-b3db-ac82a44bfb06
2026-04-18T09:49:56.4564722Z   COPILOT_AGENT_PREVIOUS_SESSION_IDS: 8e3da35a-f104-4113-86a4-62a5c3af7e53
2026-04-18T09:49:56.4565078Z   COPILOT_AGENT_USE_CODEQL: true
2026-04-18T09:49:56.4565324Z   COPILOT_AGENT_USE_CCR: true
2026-04-18T09:49:56.4565573Z   COPILOT_AGENT_USE_SECRET_SCANNING: true
2026-04-18T09:49:56.4565846Z   COPILOT_AGENT_USE_DEPENDENCY_VULN: true
2026-04-18T09:49:56.4566118Z   COPILOT_USE_SESSIONS: true
2026-04-18T09:49:56.4566351Z   COPILOT_USE_ASYNC_SESSIONS: true
2026-04-18T09:49:56.4566740Z   COPILOT_JOB_NONCE: f47292535cfb916b78e302a9ca00df749ca0f6c8d203cddba39ba18d0a33ad53
2026-04-18T09:49:56.4567161Z   COPILOT_JOB_EVENT_TYPE: api_call_received
2026-04-18T09:49:56.4567535Z   GITHUB_UPLOADS_URL: https://uploads.github.com/user-attachments/assets
2026-04-18T09:49:56.4568013Z   GITHUB_DOWNLOADS_URL: https://api.github.com/internal/user-attachments/assets
2026-04-18T09:49:56.4568501Z   SECRET_SCANNING_URL: https://scanning-api.github.com/api/v1/scan/multipart
2026-04-18T09:49:56.4569087Z   COPILOT_AGENT_SIGN_COMMITS: false
2026-04-18T09:49:56.4569524Z   GITHUB_VERIFICATION_TOKEN: f47292535cfb916b78e302a9ca00df749ca0f6c8d203cddba39ba18d0a33ad53
2026-04-18T09:49:56.4570000Z   GITHUB_TOKEN_VARNAME: GITHUB_COPILOT_API_TOKEN
2026-04-18T09:49:56.4570277Z ##[endgroup]
2026-04-18T09:49:56.4608763Z Cleaning up...
